ID    weight   length diameter  moisture  hardness
 83   16.07    2.46   1.63      10.69      -4.47
 84   31.90    3.34   2.14      10.71     -14.63
 85   40.99    4.00   2.58      10.68      -2.88
 86   22.68    3.19   2.04      10.20       6.77
 87   24.55    3.17   2.03      10.90     -19.53
 88   31.77    3.61   2.31      10.62      -9.93
 89   30.90    3.63   2.33      10.51     -10.35
 90   29.65    3.56   2.28      10.66      16.00
 91   33.39    3.34   2.14      10.38     -21.67
 92   27.54    3.49   2.23      10.29     -10.27
 93   35.14    3.82   2.45      10.24       4.35
 94   37.13    3.64   2.33      10.21     -31.31
 95   19.06    2.94   1.89      10.48      22.05
 96   31.65    3.31   2.12      10.01     -10.07
 97   25.92    3.01   1.93      10.55      -4.62
 98   25.17    3.09   1.98      10.77     -19.43
 99   21.06    2.90   1.87      10.61      -6.36
100   27.66    3.12   2.00      10.54      -5.06
101   32.27    3.15   2.02      10.70     -34.37
102   22.93    2.84   1.83      10.21      -6.84
103   29.41    3.03   1.94      10.62     -10.74
104   31.03    3.54   2.27      10.43       1.11
105   25.54    3.23   2.07      10.52     -29.74
106   32.77    3.36   2.15      10.49      11.20
107   34.89    3.64   2.33      10.90     -14.96
108   22.93    2.87   1.85      10.97     -20.46
109   35.26    3.54   2.27      10.58      -5.39
110   21.81    3.16   2.02      10.53     -14.53
111   31.27    3.49   2.23      10.61     -31.34
112   32.02    3.50   2.24      10.78     -20.25
113   29.41    3.49   2.23      10.25      -9.70
114   25.04    3.11   1.99      10.34     -10.69
115   37.50    3.83   2.46      10.70      -4.61
116   17.94    2.74   1.78      10.84     -30.76
117   32.15    3.26   2.09      10.74     -11.28
118   26.29    3.33   2.13      10.57     -21.02
119   27.29    3.24   2.07      10.59       0.42
120   32.15    3.47   2.22      10.34     -19.32
121   31.90    3.33   2.13      10.56      -5.52
122   24.05    2.73   1.77      10.77     -30.30
123   35.88    3.63   2.33      10.65     -17.86
124   41.12    3.83   2.46      10.70      -8.30
125   30.90    3.71   2.38      10.88     -25.06
126   23.67    3.18   2.04      10.65      -1.61
127   22.43    2.92   1.88      10.54     -11.17
128   26.79    3.23   2.07      10.59     -23.49
129   43.49    3.96   2.55      10.67     -30.67
130   27.66    3.42   2.19      10.65      -7.37
131   30.28    3.49   2.23      10.70       4.89
132   21.81    3.20   2.05      10.91       1.78
133   33.52    3.46   2.21      10.30     -21.35
134   17.19    2.81   1.82      10.72     -17.29
135   15.57    2.64   1.72      10.67     -22.46
136   23.80    3.10   1.99      10.34     -20.90
137   35.26    3.60   2.31      10.77     -14.34
138   47.47    4.13   2.67      10.72     -27.76
139   25.17    2.90   1.87      10.28      26.26
140   41.99    3.86   2.48      10.38     -20.44
141   29.16    3.62   2.32      10.57      -7.22
142   18.57    3.08   1.97      10.54     -26.78
143   24.17    3.31   2.12      10.98     -24.60
144   35.88    3.66   2.34      10.14      -1.33
145   20.56    2.90   1.87      10.85       2.23
146   30.28    3.44   2.20      10.26     -21.36
147   28.41    3.35   2.14      10.39     -16.57
148   24.80    2.88   1.86      10.44     -14.64
149   28.53    3.45   2.21      10.58     -10.61
150   32.52    3.46   2.21      10.71      -8.90
151   26.91    2.97   1.91      10.63      -6.45
152   25.42    3.01   1.93      10.57     -38.91
153   33.27    3.61   2.31      10.49      -0.79
154   29.16    3.34   2.14      10.36     -18.54
155   25.17    3.09   1.98      10.74     -28.62
156   28.53    3.17   2.03      10.52     -21.63
157   20.68    2.92   1.88      10.81     -47.75
158   23.42    2.76   1.79      10.42      -7.09
159   27.41    3.06   1.96      10.98     -24.94
160   22.18    3.06   1.96      10.68     -21.83
161   28.03    3.22   2.06      10.29     -19.64
162   35.01    3.36   2.15      10.66     -22.98
163   29.03    3.10   1.99      10.45     -22.79
164   23.92    2.95   1.90      10.82     -10.84
165   26.54    3.32   2.12      10.88     -15.84
166   36.63    3.59   2.30      10.50      -5.22
167   31.90    3.51   2.25      10.42      -8.95
168   22.80    2.90   1.87      10.85      -5.56
169   28.28    3.44   2.20      10.46     -20.97
170   39.12    3.69   2.37      10.08     -19.53
171   28.16    3.51   2.25      10.19     -27.23
172   38.88    3.71   2.38      10.64     -17.95
173   23.92    3.07   1.97      10.34      -3.73
174   20.81    2.90   1.87      10.54      -1.51
175   29.03    3.22   2.06      10.36      -6.98
176   19.69    3.02   1.94      10.38       3.78
177   33.27    3.47   2.22      10.48     -14.60
178   37.38    3.67   2.35      10.73     -17.74
179   35.01    3.65   2.34      10.34     -15.01
180   28.03    3.30   2.11      10.83      -5.60
181   34.14    3.51   2.25      10.56      -4.95
182   26.79    3.34   2.14      10.55     -19.84
183   38.13    3.65   2.34      10.31     -27.10
184   31.90    3.37   2.15      10.40     -16.98
185   33.64    3.56   2.28      10.73     -34.58
186   27.29    3.04   1.95      10.55      -7.29
187   27.66    3.60   2.31      10.88     -22.68
188   26.54    3.58   2.29      10.49       3.30
189   30.90    3.17   2.03      10.37     -17.83
190   18.94    2.45   1.62      10.08      -7.06
