"Treatment","Tree","Bloc","Traitement","PlantingYear","Plot","Pruned","ApogeeBino","Apogee","Date","Cultivar","Row","Shoot","Score","exsudat","Length","croissance","Observation","Year","Subject","Time","ScoreFactor","Growing","Alive","Growth","Exsudat","Exsudate"
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,7,4,"Oui",8,"MORT",2019-07-05,"2019",1,-2015,"4","Dead",0,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,8,4,"Oui",4,"MORT",2019-07-05,"2019",1,-2015,"4","Dead",0,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,9,2,"Oui",0,"Non",2019-07-05,"2019",1,-2015,"2","No",1,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,10,3,"Non",3,"Non",2019-07-05,"2019",1,-2015,"3","No",1,0,"Non",0
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,11,3,"Oui",4,"Non",2019-07-05,"2019",1,-2015,"3","No",1,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,12,4,"Oui",6,"MORT",2019-07-05,"2019",1,-2015,"4","Dead",0,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,13,4,"Oui",9,"MORT",2019-07-05,"2019",1,-2015,"4","Dead",0,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,14,4,"Oui",8,"MORT",2019-07-05,"2019",1,-2015,"4","Dead",0,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,15,4,"Oui",13,"MORT",2019-07-05,"2019",1,-2015,"4","Dead",0,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,16,4,"Oui",8,"MORT",2019-07-05,"2019",1,-2015,"4","Dead",0,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,17,4,"Oui",9,"MORT",2019-07-05,"2019",1,-2015,"4","Dead",0,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,18,4,"Oui",9,"MORT",2019-07-05,"2019",1,-2015,"4","Dead",0,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,19,4,"Oui",10,"MORT",2019-07-05,"2019",1,-2015,"4","Dead",0,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,20,2,"Oui",0,"Non",2019-07-05,"2019",1,-2015,"2","No",1,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,21,3,"Oui",2,"Non",2019-07-05,"2019",1,-2015,"3","No",1,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,22,4,"Oui",10,"MORT",2019-07-05,"2019",1,-2015,"4","Dead",0,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,23,4,"Oui",11,"MORT",2019-07-05,"2019",1,-2015,"4","Dead",0,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,24,4,"Oui",8,"MORT",2019-07-05,"2019",1,-2015,"4","Dead",0,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,25,3,"Oui",3,"Non",2019-07-05,"2019",1,-2015,"3","No",1,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,1,3,"Oui",2,"non",NA,"2018",2,-2016,"3","No",1,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,2,3,"Oui",1.5,"non",NA,"2018",2,-2016,"3","No",1,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,3,2,"Oui",0,"oui",NA,"2018",2,-2016,"2","Yes",1,1,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,4,3,"Oui",3,"oui",NA,"2018",2,-2016,"3","Yes",1,1,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,5,3,"Oui",2.5,"non",NA,"2018",2,-2016,"3","No",1,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,6,2,"Oui",0,"non",NA,"2018",2,-2016,"2","No",1,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,7,2,"Oui",0,"oui",NA,"2018",2,-2016,"2","Yes",1,1,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,8,2,"non",0,"non",NA,"2018",2,-2016,"2","No",1,0,"Non",0
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,9,3,"Oui",2.5,"oui",NA,"2018",2,-2016,"3","Yes",1,1,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,10,3,"Oui",4,"oui",NA,"2018",2,-2016,"3","Yes",1,1,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,11,3,"Oui",4,"non",NA,"2018",2,-2016,"3","No",1,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,12,4,"Oui",3.5,"mort",NA,"2018",2,-2016,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,13,4,"Oui",7.5,"mort",NA,"2018",2,-2016,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,14,4,"Oui",4.5,"mort",NA,"2018",2,-2016,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,15,1,"Oui",0,"non",NA,"2018",2,-2016,"1","No",1,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,16,2,"Oui",0,"non",NA,"2018",2,-2016,"2","No",1,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,17,3,"Oui",4,"non",NA,"2018",2,-2016,"3","No",1,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,18,4,"Oui",2,"mort",NA,"2018",2,-2016,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,19,3,"Oui",2.5,"oui",NA,"2018",2,-2016,"3","Yes",1,1,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,20,2,"non",0,"non",NA,"2018",2,-2016,"2","No",1,0,"Non",0
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,21,2,"Oui",0,"oui",NA,"2018",2,-2016,"2","Yes",1,1,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,22,2,"Oui",0,"non",NA,"2018",2,-2016,"2","No",1,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2018-06-22,"Cortland",3,23,4,"Oui",6,"mort",NA,"2018",2,-2016,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,1,4,"Oui",4,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,2,2,"Oui",0,"Non",2019-07-05,"2019",2,-2015,"2","No",1,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,3,4,"Non",11,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Non",0
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,4,4,"Oui",13,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,5,4,"Oui",12,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,6,4,"Oui",7,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,7,4,"Oui",6,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,8,4,"Non",8,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Non",0
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,9,4,"Oui",6,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,10,4,"Oui",10,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,11,4,"Oui",8,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,12,4,"Oui",3,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,13,4,"Oui",10,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,14,4,"Oui",10,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,15,4,"Oui",5,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,16,4,"Oui",8,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,17,2,"Oui",0,"Non",2019-07-05,"2019",2,-2015,"2","No",1,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,18,4,"Oui",13,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,19,4,"Oui",14,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,20,4,"Oui",8,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,21,4,"Oui",7,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,22,4,"Oui",6,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,23,4,"Oui",5,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Oui",1
"B",6,"I","témoin sans taille","2017","B.I","No","No","None",2019-07-05,"cortland",3,24,4,"Oui",14,"MORT",2019-07-05,"2019",2,-2015,"4","Dead",0,0,"Oui",1
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,1,4,"Oui",4.5,"mort",NA,"2018",3,-2016,"4","Dead",0,0,"Oui",1
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,2,2,"non",0,"oui",NA,"2018",3,-2016,"2","Yes",1,1,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,3,2,"non",0,"oui",NA,"2018",3,-2016,"2","Yes",1,1,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,4,2,"non",0,"oui",NA,"2018",3,-2016,"2","Yes",1,1,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,5,2,"non",0,"non",NA,"2018",3,-2016,"2","No",1,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,6,4,"non",4.5,"mort",NA,"2018",3,-2016,"4","Dead",0,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,7,2,"non",0,"non",NA,"2018",3,-2016,"2","No",1,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,8,2,"non",0,"non",NA,"2018",3,-2016,"2","No",1,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,9,2,"non",0,"non",NA,"2018",3,-2016,"2","No",1,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,10,2,"non",0,"oui",NA,"2018",3,-2016,"2","Yes",1,1,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,11,4,"non",2.5,"mort",NA,"2018",3,-2016,"4","Dead",0,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,12,2,"non",0,"non",NA,"2018",3,-2016,"2","No",1,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,13,2,"non",0,"non",NA,"2018",3,-2016,"2","No",1,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,14,2,"non",0,"non",NA,"2018",3,-2016,"2","No",1,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,15,1,"Oui",0,"non",NA,"2018",3,-2016,"1","No",1,0,"Oui",1
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,16,1,"non",0,"oui",NA,"2018",3,-2016,"1","Yes",1,1,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,17,2,"non",0,"oui",NA,"2018",3,-2016,"2","Yes",1,1,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,18,4,"non",6,"mort",NA,"2018",3,-2016,"4","Dead",0,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,19,1,"non",0,"oui",NA,"2018",3,-2016,"1","Yes",1,1,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,20,2,"non",0,"oui",NA,"2018",3,-2016,"2","Yes",1,1,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,21,2,"non",0,"non",NA,"2018",3,-2016,"2","No",1,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,22,2,"non",0,"oui",NA,"2018",3,-2016,"2","Yes",1,1,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,23,2,"non",0,"non",NA,"2018",3,-2016,"2","No",1,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,24,1,"non",0,"oui",NA,"2018",3,-2016,"1","Yes",1,1,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2018-06-22,"Cortland",1,25,2,"Oui",0,"oui",NA,"2018",3,-2016,"2","Yes",1,1,"Oui",1
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,1,4,"Oui",9,"MORT",2019-07-05,"2019",3,-2015,"4","Dead",0,0,"Oui",1
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,2,4,"Oui",7,"MORT",2019-07-05,"2019",3,-2015,"4","Dead",0,0,"Oui",1
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,3,2,"Non",0,"Non",2019-07-05,"2019",3,-2015,"2","No",1,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,4,4,"Oui",8,"MORT",2019-07-05,"2019",3,-2015,"4","Dead",0,0,"Oui",1
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,5,4,"Oui",7,"MORT",2019-07-05,"2019",3,-2015,"4","Dead",0,0,"Oui",1
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,6,4,"Oui",2,"MORT",2019-07-05,"2019",3,-2015,"4","Dead",0,0,"Oui",1
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,7,4,"Oui",3,"MORT",2019-07-05,"2019",3,-2015,"4","Dead",0,0,"Oui",1
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,8,3,"Oui",3,"Non",2019-07-05,"2019",3,-2015,"3","No",1,0,"Oui",1
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,9,4,"Non",4,"MORT",2019-07-05,"2019",3,-2015,"4","Dead",0,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,10,2,"Non",0,"Non",2019-07-05,"2019",3,-2015,"2","No",1,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,11,3,"Non",4,"Non",2019-07-05,"2019",3,-2015,"3","No",1,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,12,3,"Non",2,"Non",2019-07-05,"2019",3,-2015,"3","No",1,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,13,3,"Non",1.5,"Non",2019-07-05,"2019",3,-2015,"3","No",1,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,14,4,"Non",3,"MORT",2019-07-05,"2019",3,-2015,"4","Dead",0,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,15,2,"Non",0,"Non",2019-07-05,"2019",3,-2015,"2","No",1,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,16,3,"Non",2,"Non",2019-07-05,"2019",3,-2015,"3","No",1,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,17,2,"Non",0,"Non",2019-07-05,"2019",3,-2015,"2","No",1,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,18,4,"Non",7,"MORT",2019-07-05,"2019",3,-2015,"4","Dead",0,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,19,4,"Non",1.5,"MORT",2019-07-05,"2019",3,-2015,"4","Dead",0,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,20,4,"Non",2,"MORT",2019-07-05,"2019",3,-2015,"4","Dead",0,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,21,2,"Non",0,"Non",2019-07-05,"2019",3,-2015,"2","No",1,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,22,3,"Oui",4,"Non",2019-07-05,"2019",3,-2015,"3","No",1,0,"Oui",1
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,23,4,"Non",5,"MORT",2019-07-05,"2019",3,-2015,"4","Dead",0,0,"Non",0
"C",10,"I","Apogee floraison avec taille","2011","C.I","Yes","Yes","Bloom",2019-07-05,"cortland",1,24,4,"Oui",8,"MORT",2019-07-05,"2019",3,-2015,"4","Dead",0,0,"Oui",1
